"2013-03-07";"12:13:49";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-03-01";"12:04:23";"F";"2459";"369";"390";"434";"0.054";"9.8"
"2013-03-01";"12:04:33";"F";"2460";"358";"370";"583";"0.032";"7.8"
"2013-03-01";"12:04:33";"SLCE";"";"Light Curve end ";""
"2013-03-01";"12:08:25";"SLCS";"";"Light Curve start ";""
"2013-03-01";"12:08:25";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.005, ETRmPot: 9.014 ) ";""
"2013-03-01";"12:08:25";"REG2";"";"#1: alpha: 0.138, ETRm: 11.202, Ek: 80.941 ";""
"2013-03-01";"12:08:26";"FO";"2461";"156";"539";"0";"0.711";"0.0"
"2013-03-01";"12:08:35";"F";"2462";"208";"528";"15";"0.606";"3.8"
"2013-03-01";"12:08:45";"F";"2463";"331";"509";"44";"0.350";"6.5"
"2013-03-01";"12:08:55";"F";"2464";"389";"494";"91";"0.213";"8.1"
"2013-03-01";"12:09:05";"F";"2465";"405";"478";"141";"0.153";"9.1"
"2013-03-01";"12:09:15";"F";"2466";"411";"465";"211";"0.116";"10.3"
"2013-03-01";"12:09:25";"F";"2467";"411";"455";"290";"0.097";"11.8"
"2013-03-01";"12:09:34";"F";"2468";"414";"443";"426";"0.065";"11.6"
"2013-03-01";"12:09:44";"F";"2469";"411";"433";"575";"0.051";"12.3"
"2013-03-01";"12:09:44";"SLCE";"";"Light Curve end ";""
"2013-03-01";"12:10:25";"SLCS";"";"Light Curve start ";""
"2013-03-01";"12:10:25";"REG1";"";"#1: alpha: 0.314, ETRm: 12.890, Ek: 41.010   ( beta: 0.000, ETRmPot: 12.971 ) ";""
"2013-03-01";"12:10:25";"REG2";"";"#1: alpha: 0.245, ETRm: 12.705, Ek: 51.944 ";""
"2013-03-01";"12:10:26";"FO";"2470";"133";"520";"0";"0.744";"0.0"
"2013-03-01";"12:10:35";"F";"2471";"163";"515";"15";"0.683";"4.3"
"2013-03-01";"12:10:45";"F";"2472";"256";"495";"44";"0.483";"8.9"
"2013-03-01";"12:10:55";"F";"2473";"338";"472";"91";"0.284";"10.9"
"2013-03-01";"12:11:05";"F";"2474";"357";"444";"141";"0.196";"11.6"
"2013-03-01";"12:11:15";"F";"2475";"359";"422";"211";"0.149";"13.2"
"2013-03-01";"12:11:25";"F";"2476";"351";"396";"290";"0.114";"13.9"
"2013-03-01";"12:11:34";"F";"2477";"345";"372";"426";"0.073";"13.1"
"2013-03-01";"12:11:44";"F";"2478";"334";"352";"575";"0.051";"12.3"
"2013-03-01";"12:11:44";"SLCE";"";"Light Curve end ";""
"2013-03-01";"12:19:07";"C";"";"MI=5;SI=8;SW=0.6;AI=3;AW=0:05;AF=1.00;G=7;D=1;EF=0.84;FO=21;CW=30:00;CI=2;LW=0:10;LI=1;ID=0:05;IW=0:10;DO0.0;DG1.00;LO=0;LG=0.80 ";""
"2013-03-01";"12:19:07";"SLCS";"";"Light Curve start ";""
"2013-03-01";"12:19:07";"REG1";"";"#1: alpha: - , ETRm: - , Ek: -   ( beta: - 0.003, ETRmPot: 10.692 ) ";""
"2013-03-01";"12:19:07";"REG2";"";"#1: alpha: 0.225, ETRm: 11.490, Ek: 50.980 ";""
"2013-03-01";"12:19:08";"FO";"2480";"160";"651";"0";"0.754";"0.0"
"2013-03-01";"12:19:18";"F";"2481";"209";"645";"15";"0.676";"4.3"
"2013-03-01";"12:19:28";"F";"2482";"350";"627";"44";"0.442";"8.2"
"2013-03-01";"12:19:37";"F";"2483";"463";"609";"91";"0.240";"9.2"
"2013-03-01";"12:19:47";"F";"2484";"487";"592";"141";"0.177";"10.5"
"2013-03-01";"12:19:57";"F";"2485";"495";"571";"211";"0.133";"11.8"
"2013-03-01";"12:20:07";"F";"2486";"497";"552";"290";"0.100";"12.2"
"2013-03-01";"12:20:17";"F";"2487";"496";"532";"426";"0.068";"12.2"
