"2014-02-03";"13:00:40";"WinControl (rev 714) report file"
"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Temp";"1:Y (II)";"1:ETR";"1:Fo'";"1:Depth";"1:qP";"1:qN";"1:NPQ"
"";"";"D";"";"Device Nr: #1, Diving-PAM ";""
"2013-09-05";"11:28:44";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:28:44";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:28:45";"FO";"62";"178";"728";"0";"13.0";"0.755";"0.0";"-";"- 4.7";"-";"-";"-"
"2013-09-05";"11:28:55";"F";"63";"514";"727";"19";"13.0";"0.293";"2.3";"~178";"- 4.7";"0.388";"0.002";"0.001"
"2013-09-05";"11:29:05";"F";"64";"622";"714";"38";"13.0";"0.129";"2.1";"~177";"- 4.7";"0.171";"0.024";"0.020"
"2013-09-05";"11:29:15";"F";"65";"650";"699";"58";"13.0";"0.070";"1.7";"~176";"- 4.7";"0.094";"0.049";"0.041"
"2013-09-05";"11:29:25";"F";"66";"653";"680";"86";"13.0";"0.040";"1.4";"~175";"- 4.7";"0.053";"0.082";"0.071"
"2013-09-05";"11:29:35";"F";"67";"653";"669";"117";"13.0";"0.024";"1.2";"~174";"- 4.7";"0.032";"0.100";"0.088"
"2013-09-05";"11:29:45";"F";"68";"651";"654";"170";"13.0";"0.005";"0.4";"~173";"- 4.7";"0.006";"0.125";"0.113"
"2013-09-05";"11:29:54";"F";"69";"641";"640";"228";"13.0";"-";"-";"-";"- 4.7";"-";"-";"-"
"2013-09-05";"11:30:04";"F";"70";"624";"623";"337";"13.0";"-";"-";"-";"- 4.7";"-";"-";"-"
"2013-09-05";"11:30:04";"SLCE";"";"Light Curve end ";""
"2013-09-05";"11:30:42";"SLCS";"";"Light Curve start ";""
"2013-09-05";"11:30:42";"REG1";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:30:42";"REG2";"";"#1: Error: First 3 ETR-Values are not increasing ";""
"2013-09-05";"11:30:43";"FO";"71";"203";"715";"0";"13.0";"0.716";"0.0";"-";"- 4.7";"-";"-";"-"
"2013-09-05";"11:30:53";"F";"72";"495";"717";"19";"13.0";"0.310";"2.5";"~203";"- 4.7";"0.432";"- 0.004";"- 0.003"
